category	heavy_metal	heavy_metal	heavy_metal	organic	organic	organic
k_Bacteria	    0	    2	    0	  18	    0	 189
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Bryobacterales|f_Bryobacteraceae|g_Bryobacter	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Bryobacterales|f_Bryobacteraceae|g_Bryobacter|s_midas_s_1182	    0	    0	    0	   0	    0	   1
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Bryobacterales|f_Bryobacteraceae|g_Bryobacter|s_midas_s_25364	    1	    0	    0	   3	    0	   6
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Bryobacterales|f_Bryobacteraceae|g_Bryobacter|s_midas_s_3298	    0	    0	    0	  41	    0	 207
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Bryobacterales|f_Bryobacteraceae|g_Bryobacter|s_midas_s_41864	   30	    0	    0	  53	    0	   0
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Bryobacterales|f_Bryobacteraceae|g_Bryobacter|s_midas_s_6438	    0	    0	    0	   5	    0	   0
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Paludibaculum|f_midas_f_675|g_midas_g_1988|s_midas_s_25493	    4	    0	    0	  17	    0	   0
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Paludibaculum|f_midas_f_675|g_midas_g_675|s_midas_s_19543	    0	    0	    0	   2	    0	   0
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Paludibaculum|f_midas_f_675|g_midas_g_982|s_midas_s_34954	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Paludibaculum|f_midas_f_675|g_midas_g_982|s_midas_s_982	    0	    0	    0	  15	    0	   0
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_11-24|f_midas_f_1424	    0	    0	    0	  23	    0	   0
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_11-24|f_midas_f_1424|g_midas_g_1424|s_midas_s_10907	    0	    0	    0	1139	    2	 363
