category	heavy_metal	heavy_metal	no	no	heavy_metal	heavy_metal	heavy_metal	heavy_metal	organic	organic	organic	organic	organic	organic	no
k_Bacteria	    0	    0	    1	  263	    1	  94	    0	    0	  17	  824	    0	  529	 189	  45	   0
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Bryobacterales|f_Bryobacteraceae|g_Bryobacter	    0	    0	    2	   32	    0	   0	    0	    0	   1	    0	    0	    0	   0	   0	   6
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Bryobacterales|f_Bryobacteraceae|g_Bryobacter|s_midas_s_1182	    0	    0	    0	   12	    0	   0	    0	    0	   0	    1	    0	    0	   1	   8	   0
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Bryobacterales|f_Bryobacteraceae|g_Bryobacter|s_midas_s_25364	    2	    1	    2	    0	    0	   0	    0	    0	   1	    3	    0	    0	   6	  10	   4
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Bryobacterales|f_Bryobacteraceae|g_Bryobacter|s_midas_s_3298	    0	    0	   19	   11	    0	   0	    0	    0	  46	    7	    0	    0	 207	   2	  73
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Bryobacterales|f_Bryobacteraceae|g_Bryobacter|s_midas_s_41864	   23	    0	    3	    0	    0	   0	    0	    0	  55	    6	    0	    0	   0	   0	  14
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Bryobacterales|f_Bryobacteraceae|g_Bryobacter|s_midas_s_6438	    0	    0	    0	    0	    0	   0	    0	    0	   3	    1	    0	    0	   0	   0	   5
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Paludibaculum|f_midas_f_675|g_midas_g_1988|s_midas_s_25493	    0	    3	    7	    6	    0	   0	    0	    0	  15	    6	    0	    0	   0	   1	   0
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Paludibaculum|f_midas_f_675|g_midas_g_675|s_midas_s_19543	    0	    8	    0	    1	    0	   0	    0	    0	   1	    1	    0	    0	   0	   1	   0
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Paludibaculum|f_midas_f_675|g_midas_g_982|s_midas_s_34954	    0	    0	    0	   25	    0	   0	    0	    0	   0	    0	    0	    0	   0	   7	   0
k_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Paludibaculum|f_midas_f_675|g_midas_g_982|s_midas_s_982	    0	    0	    9	    1	    0	   0	    0	    0	  15	    3	    0	    0	   0	   0	   0
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_11-24|f_midas_f_1424	    0	    0	    6	    0	    0	   0	    0	    0	  27	    0	    0	    0	   0	   0	  44
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_11-24|f_midas_f_1424|g_midas_g_1424|s_midas_s_10907	    0	    0	  427	  150	    0	   0	    0	    0	1151	  155	    2	    0	 363	   8	 441
