#OTU ID	Cd11	Cd21	CG11	CG21	Cr11	Cr21	Cu11	Cu21	oh11	oh21	PAP11	PAP21	PNP11	PNP21	Seed
ASV_97	29	1804	12	2	1	4	0	0	52	4	0	0	0	2	604
ASV_11	18967	21	238	192	3650	0	8	0	37	7	0	0	365	0	2
ASV_2	43620	15154	62	0	38	2	76153	18	0	1	0	0	0	0	2
ASV_30	5178	1926	185	88	2	2	0	0	467	160	0	2	11	27	355
ASV_26	6724	2064	103	5	21	86	23	0	4	1	0	0	0	0	24
ASV_109	108	64	0	0	0	49	1	0	0	0	41	1428	0	3	4
ASV_3	1230	1070	134	0	333	31	11	81875	7	1	0	4	0	0	960
ASV_45	180	1	422	18	0	0	0	0	1287	109	18	5	18	7	4388
ASV_12	5891	15622	11	0	4	1	27	0	2	1	0	0	0	0	11
ASV_29	81	0	2787	323	127	2	0	0	4467	903	0	0	2073	5791	0
ASV_150	1316	557	0	0	0	2	0	0	0	0	0	0	5	161	1
ASV_134	120	333	9	7	9	25	8	0	8	8	1	2	16	24	723
ASV_585	44	28	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34	2648	0	3	0	0	0	0	0	6	1	2744	1949	0	0	150
ASV_47	744	1485	2206	609	203	434	2	0	764	1467	25	9	37	256	1422
ASV_192	750	12	6	5	1	19	0	0	6	31	1	0	0	14	29
ASV_8	5229	6216	4261	13630	59	555	0	0	3178	1937	0	4	0	1	53
ASV_118	638	682	215	0	0	0	0	0	46	2	0	0	123	0	0
ASV_71	510	762	36	14	58	206	0	0	23	40	244	1191	0	71	104
ASV_1179	4	0	0	0	0	0	0	0	2	0	0	0	5	1	2
ASV_230	157	12	70	17	0	0	0	0	90	44	0	0	1	7	45
ASV_105	1427	0	229	0	0	0	0	0	36	5	0	0	0	0	36
ASV_996	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_73	544	578	286	824	96	154	0	0	353	63	0	3	1	1	92
ASV_170	279	472	0	2	0	0	2	0	3	11	0	4	0	0	0
ASV_171	108	0	6	9	12	102	0	0	3	28	0	1	93	513	5
ASV_10	576	0	3552	276	7	0	0	0	8153	4304	3	5	112	0	9180
ASV_331	200	27	0	0	0	0	0	0	0	0	0	0	3	11	1
ASV_51	762	252	199	558	9	346	0	0	1065	721	2	2	19	238	926
ASV_63	744	1749	278	24	1014	32	252	0	83	18	0	1	0	0	195
ASV_254	55	15	1	3	42	4	14	0	0	0	0	67	113	98	0
ASV_201	46	1	107	37	11	7	0	0	74	29	2	2	48	3	229
ASV_46	291	374	0	0	0	2	0	0	0	0	0	0	117	5234	0
ASV_35	231	63	25	0	75	26	8768	78	2	1	0	0	0	0	52
ASV_198	14	3	31	34	22	17	353	61	16	17	12	2	11	15	25
ASV_48	190	127	458	161	180	488	0	0	3283	949	1	0	0	0	6
ASV_292	22	245	1	0	0	0	0	0	0	0	0	0	0	0	2
ASV_5	41	8	153	2	50631	3250	1	6	2	1	1	0	0	0	3
ASV_85	339	0	55	11	0	0	0	0	1520	433	0	0	22	9	1
ASV_229	13	0	51	1	0	0	0	0	88	2	0	0	13	0	255
ASV_359	2	0	4	0	0	0	0	0	10	0	0	0	0	0	158
ASV_605	18	0	6	6	0	3	0	0	4	2	3	0	11	0	58
ASV_355	79	18	0	1	37	0	55	4	2	8	1	0	0	0	1
ASV_59	15	2	470	49	28	266	0	0	343	783	2	0	1392	3539	49
ASV_520	40	21	5	10	0	2	11	0	2	4	20	26	0	0	2
ASV_323	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_361	18	169	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV_710	14	21	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	53	0	577	1129	24	9	1	0	639	551	13	8	418	30	854
ASV_166	11	0	98	0	10	1	0	0	141	13	2	0	151	3	382
ASV_184	34	0	6	0	0	1	0	0	22	2	0	1	59	0	551
ASV_594	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_959	3	0	0	0	0	0	0	0	26	5	0	0	0	0	0
ASV_538	6	6	8	11	0	0	0	0	24	12	0	0	0	2	2
ASV_4	48	2	3545	22467	68	1861	0	0	12549	34727	2	4	89	254	391
ASV_274	4	0	140	2	6	0	0	0	8	16	2	0	11	1	116
ASV_735	2	0	1	0	0	0	0	0	1	0	1	1	0	0	32
ASV_7	11	0	769	2333	621	12634	0	0	1797	2679	1	1	158	13867	48
ASV_750	37	0	0	2	0	0	0	0	0	0	0	0	0	0	0
