category	OTU	Specificity	Occupancy	Abundance_mean	Taxonomy
heavy_metal	ASV_125	0.820048309178744	0.833333333333333	113.166666666667	p:Proteobacteria
heavy_metal	ASV_2	0.999031195504747	1	12890	p:Proteobacteria
heavy_metal	ASV_26	0.969449309204125	0.833333333333333	830.333333333333	p:Proteobacteria
heavy_metal	ASV_3	0.973529577411906	1	8642.83333333333	p:Proteobacteria
heavy_metal	ASV_35	0.981203686969094	1	904.833333333333	p:Proteobacteria
heavy_metal	ASV_355	0.933884297520661	0.833333333333333	18.8333333333333	p:Proteobacteria
heavy_metal	ASV_37	0.831551385555313	1	635.166666666667	p:Bacteroidota
heavy_metal	ASV_386	0.8	0.833333333333333	21.3333333333333	p:Proteobacteria
heavy_metal	ASV_5	0.994330099632931	1	5056.5	p:Proteobacteria
heavy_metal	ASV_63	0.787486892694862	0.833333333333333	375.5	p:Proteobacteria
no	ASV_1048	1	1	4	p:Proteobacteria
no	ASV_106	0.746922024623803	1	273	p:Proteobacteria
no	ASV_114	0.719101123595506	1	192	p:Desulfobacterota
no	ASV_1185	1	1	1.33333333333333	p:Proteobacteria
no	ASV_1201	0.923076923076923	1	2	p:Gemmatimonadota
no	ASV_132	0.726943942133816	1	134	p:Proteobacteria
no	ASV_134	0.726717557251908	1	158.666666666667	p:Proteobacteria
no	ASV_137	0.788182831661092	1	235.666666666667	p:Proteobacteria
no	ASV_149	0.712712712712713	1	118.666666666667	p:Acidobacteriota
no	ASV_157	0.702912621359223	1	120.666666666667	p:Proteobacteria
no	ASV_197	0.703096539162113	1	64.3333333333333	p:Proteobacteria
no	ASV_201	0.762987012987013	1	78.3333333333333	p:Proteobacteria
no	ASV_274	0.923076923076923	1	54	p:Proteobacteria
no	ASV_283	0.966767371601208	1	53.3333333333333	p:Nitrospirota
no	ASV_293	0.96028880866426	1	44.3333333333333	p:Proteobacteria
no	ASV_298	0.765217391304348	1	29.3333333333333	p:Proteobacteria
no	ASV_299	0.888888888888889	1	37.3333333333333	p:Proteobacteria
no	ASV_345	0.752688172043011	1	23.3333333333333	p:Proteobacteria
no	ASV_349	0.816326530612245	1	26.6666666666667	p:Proteobacteria
no	ASV_357	0.731428571428571	1	21.3333333333333	p:Proteobacteria
no	ASV_380	0.746666666666667	1	18.6666666666667	p:Proteobacteria
no	ASV_401	0.962025316455696	1	25.3333333333333	p:Proteobacteria
no	ASV_41	0.725927514475659	1	1128.33333333333	p:Gemmatimonadota
no	ASV_436	0.709090909090909	1	13	p:Proteobacteria
no	ASV_45	0.867676478993998	1	1012	p:Proteobacteria
no	ASV_450	0.725663716814159	1	13.6666666666667	p:Verrucomicrobiota
no	ASV_457	0.972222222222222	1	23.3333333333333	p:Proteobacteria
no	ASV_458	0.905109489051095	1	20.6666666666667	p:Proteobacteria
no	ASV_459	0.834782608695652	1	16	p:Proteobacteria
no	ASV_474	0.87037037037037	1	15.6666666666667	p:Proteobacteria
no	ASV_477	0.880733944954128	1	16	p:Proteobacteria
no	ASV_492	0.80327868852459	1	16.3333333333333	p:Proteobacteria
no	ASV_541	0.831460674157303	1	12.3333333333333	p:Firmicutes
no	ASV_545	0.721311475409836	1	7.33333333333333	p:Proteobacteria
no	ASV_55	0.752557233317097	1	515	p:Proteobacteria
no	ASV_58	0.718998314471466	1	497.666666666667	p:Proteobacteria
no	ASV_6	0.709819225765936	1	5274.66666666667	p:Proteobacteria
no	ASV_605	0.793103448275862	1	15.3333333333333	p:Proteobacteria
no	ASV_61	0.999382334774552	1	809	p:Proteobacteria
no	ASV_622	0.730769230769231	1	6.33333333333333	p:Proteobacteria
no	ASV_625	0.808510638297872	1	12.6666666666667	p:Proteobacteria
no	ASV_633	0.776119402985075	1	8.66666666666667	p:Proteobacteria
no	ASV_665	0.844444444444444	1	6.33333333333333	p:Proteobacteria
no	ASV_684	0.823529411764706	1	4.66666666666667	p:Proteobacteria
no	ASV_70	0.886915887850467	1	632.666666666667	p:Gemmatimonadota
no	ASV_74	0.830188679245283	1	381.333333333333	p:Proteobacteria
no	ASV_747	0.75	1	4	p:Proteobacteria
no	ASV_782	0.857142857142857	1	17	p:Proteobacteria
no	ASV_792	0.883720930232558	1	6.33333333333333	p:Proteobacteria
no	ASV_798	0.742857142857143	1	4.33333333333333	p:Proteobacteria
no	ASV_800	0.904109589041096	1	11	p:Proteobacteria
no	ASV_842	0.8125	1	4.33333333333333	p:Proteobacteria
no	ASV_856	0.903225806451613	1	9.33333333333333	p:Chloroflexi
no	ASV_870	0.740740740740741	1	3.33333333333333	p:Actinobacteriota
no	ASV_93	0.87449118046133	1	429.666666666667	p:Proteobacteria
organic	ASV_1	0.832834041284745	0.833333333333333	9313.16666666667	p:Proteobacteria
organic	ASV_171	0.743639921722113	0.833333333333333	63.3333333333333	p:Proteobacteria
organic	ASV_21	0.746021435531017	0.833333333333333	765.666666666667	p:Proteobacteria
organic	ASV_246	0.902222222222222	1	33.8333333333333	p:Proteobacteria
organic	ASV_42	0.993448637316562	0.833333333333333	631.833333333333	p:Proteobacteria
organic	ASV_59	0.824806534823732	0.833333333333333	639.5	p:Proteobacteria
organic	ASV_9	0.999712610644902	1	2898.83333333333	p:Proteobacteria
