Genome	Cd11.sorted TPM	Cd21.sorted TPM	CG11.sorted TPM	CG21.sorted TPM	Cr11.sorted TPM	Cr21.sorted TPM	Cu11.sorted TPM	Cu21.sorted TPM	oh11.sorted TPM	oh21.sorted TPM	PAP11.sorted TPM	PAP21.sorted TPM	PNP11.sorted TPM	PNP21.sorted TPM	Seed.sorted TPM
PAP21_bin.8.orig	0	0	8057.656	3549.3315	0	0	0	0	0	227.39096	783239.06	317702.22	0	0	0
Cd21_bin.7.strict	9321.966	21054.94	0	0	0	0	0	0	0	0	0	0	0	4194.795	0
Cr11_bin.5.permissive	0	0	0	0	7465.9165	69216.45	0	0	0	0	0	0	0	0	0
PAP11_bin.13.strict	0	0	0	0	0	0	0	0	0	0	7146.016	8434.54	0	0	0
Cd11_bin.18.orig	310027.4	6717.499	508.6668	0	0	0	3817.5708	0	0	0	0	0	0	0	0
PNP11_bin.28.strict	0	0	0	0	0	0	0	0	0	0	0	0	5845.6675	0	0
PAP21_bin.17.orig	0	0	0	304.03558	0	0	0	0	0	880.8282	0	31943.832	5601.1465	269.7943	0
Cd21_bin.11.strict	0	32255.652	0	0	0	0	0	0	0	0	0	0	0	0	0
oh11_bin.11.permissive	0	0	0	0	0	0	0	0	5617.623	0	0	0	0	0	0
Cr11_bin.7.strict	33956.656	112942.875	0	0	9961.641	10003.91	7717.672	0	0	0	0	0	0	0	0
oh21_bin.19.strict	0	0	0	76978.375	0	0	0	0	0	24317.092	0	0	0	0	0
Cd11_bin.12.permissive	4030.995	0	0	0	0	0	0	0	5037.6416	845.3233	0	0	0	0	0
PAP21_bin.1.orig	0	0	0	0	0	0	0	0	0	0	8478.007	116773.61	0	0	0
Cu21_bin.2.strict	794.8662	656.65924	863.34875	941.45294	805.43555	553.4247	7318.3955	6410.9214	448.59027	562.38275	278.95297	165.61513	316.81915	556.24976	732.87006
PNP11_bin.12.orig	0	0	165.00896	0	0	0	0	0	358.97778	0	0	0	6178.54	0	0
PNP11_bin.39.permissive	0	0	2600.2827	551.07446	0	0	0	0	5048.0874	1132.3785	0	0	12028.058	453.64206	5350.05
Cd21_bin.20.orig	45097.563	67527.805	30326.705	74193.195	303.06204	1904.1791	0	0	16130.057	8218.597	0	0	0	0	0
oh11_bin.5.orig	1239.1462	0	4380.4077	0	159.43282	0	0	0	7691.1143	2646.0063	0	0	3567.9602	263.92987	5320.6475
CG21_bin.41.permissive	0	0	10543.415	9826.963	0	0	0	0	25388.45	10171.043	0	0	0	0	0
Cd11_bin.19.orig	18471.21	3554.7144	0	0	0	0	0	0	0	0	0	0	0	0	0
CG21_bin.29.permissive	0	0	0	7483.324	0	0	0	0	0	3977.9224	0	0	0	0	0
PAP21_bin.9.orig	0	0	0	0	0	0	0	0	379.95352	0	96569.34	13580.344	1028.4194	690.6115	0
oh11_bin.39.orig	1159.0763	0	12026.498	2624.456	215.31244	0	0	0	3504.1821	6888.2827	0	0	159.21007	894.21857	4690.648
oh21_bin.38.orig	1287.2002	0	19849.941	4628.6978	395.1295	0	0	0	4196.285	12508.431	0	0	250.84862	1632.7477	7126.817
CG11_bin.8.strict	0	0	19610.293	0	0	0	0	0	408.42892	0	0	0	372.13776	0	0
PNP21_bin.8.strict	0	0	0	447.12527	0	0	0	0	0	280.19678	0	0	0	13152.388	0
CG21_bin.37.orig	0	0	1029.3595	15049.189	0	0	0	0	0	3750.6365	0	0	319.40662	605.44904	0
Cd21_bin.24.orig	0	166693.53	0	0	0	0	0	0	0	0	0	0	0	0	0
CG11_bin.12.orig	0	0	19251.465	0	304.50366	0	0	0	5616.654	0	0	0	402.15897	0	0
oh11_bin.14.orig	0	0	0	0	0	0	0	0	28483.959	0	0	0	0	0	2128.8499
PNP21_bin.20.permissive	0	0	0	372.19315	0	3360.2793	0	0	0	163.05513	0	0	2070.065	6232.7266	0
PAP21_bin.15.orig	0	0	0	0	0	0	0	0	0	0	977.88776	82246.63	0	0	0
CG11_bin.11.orig	0	0	8252.223	1365.8807	0	0	0	0	806.6535	4253.4014	0	0	0	0	442.88904
