File_Name	Count
Cd11_bin.12.permissive	48
Cd11_bin.17.orig	21
Cd11_bin.18.orig	39
Cd11_bin.19.orig	24
Cd11_bin.2.orig	13
Cd11_bin.3.orig	1
Cd11_bin.5.orig	2
Cd11_bin.8.orig	34
Cd11_bin.9.strict	0
Cd21_bin.10.orig	1
Cd21_bin.11.strict	5
Cd21_bin.12.permissive	1
Cd21_bin.13.strict	5
Cd21_bin.14.strict	42
Cd21_bin.16.permissive	19
Cd21_bin.17.strict	85
Cd21_bin.18.strict	436
Cd21_bin.19.orig	10
Cd21_bin.20.orig	13
Cd21_bin.21.orig	0
Cd21_bin.22.orig	227
Cd21_bin.23.orig	155
Cd21_bin.24.orig	8
Cd21_bin.25.strict	5
Cd21_bin.26.orig	5
Cd21_bin.27.orig	191
Cd21_bin.2.orig	10
Cd21_bin.3.permissive	5
Cd21_bin.4.strict	26
Cd21_bin.5.orig	73
Cd21_bin.6.orig	5
Cd21_bin.7.strict	10
Cd21_bin.8.permissive	0
Cd21_bin.9.orig	158
CG11_bin.11.orig	98
CG11_bin.12.orig	22
CG11_bin.13.orig	2
CG11_bin.14.permissive	267
CG11_bin.15.orig	0
CG11_bin.16.strict	0
CG11_bin.21.orig	0
CG11_bin.26.strict	4
CG11_bin.27.strict	140
CG11_bin.28.orig	70
CG11_bin.29.orig	2
CG11_bin.2.orig	299
CG11_bin.30.orig	12
CG11_bin.36.strict	3
CG11_bin.4.permissive	67
CG11_bin.6.orig	261
CG11_bin.8.strict	5
CG21_bin.10.orig	21
CG21_bin.12.orig	6
CG21_bin.14.orig	37
CG21_bin.15.strict	25
CG21_bin.17.permissive	2
CG21_bin.22.strict	241
CG21_bin.23.permissive	66
CG21_bin.24.permissive	11
CG21_bin.26.strict	236
CG21_bin.27.strict	264
CG21_bin.28.orig	5
CG21_bin.29.permissive	4
CG21_bin.2.orig	157
CG21_bin.30.strict	29
CG21_bin.31.orig	135
CG21_bin.32.permissive	139
CG21_bin.33.orig	7
CG21_bin.36.strict	30
CG21_bin.37.orig	1
CG21_bin.3.strict	142
CG21_bin.41.permissive	22
CG21_bin.43.orig	13
CG21_bin.44.permissive	4
CG21_bin.5.strict	254
CG21_bin.6.permissive	148
CG21_bin.7.orig	0
CG21_bin.8.permissive	9
CG21_bin.9.orig	2
Cr11_bin.10.orig	3
Cr11_bin.12.permissive	100
Cr11_bin.13.permissive	0
Cr11_bin.15.strict	0
Cr11_bin.16.permissive	51
Cr11_bin.1.orig	0
Cr11_bin.2.orig	0
Cr11_bin.3.orig	1
Cr11_bin.4.strict	5
Cr11_bin.5.permissive	26
Cr11_bin.6.strict	10
Cr11_bin.7.strict	38
Cr11_bin.8.strict	26
Cu11_bin.2.strict	16
Cu11_bin.3.strict	24
Cu11_bin.4.orig	20
Cu11_bin.6.strict	3
Cu11_bin.7.strict	209
Cu11_bin.8.orig	1
Cu21_bin.1.orig	27
Cu21_bin.2.strict	521
Cu21_bin.3.strict	53
Cu21_bin.4.orig	8
Cu21_bin.5.permissive	0
oh11_bin.10.strict	2
