user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CG11_bin.11.orig	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Vitreimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Vitreimonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_020848895.1, s__Vitreimonas sp020848895, 95.0, 81.56, 0.586; GCA_016703335.1, s__Vitreimonas sp016703335, 95.0, 81.55, 0.709; GCA_016791365.1, s__Vitreimonas sp016791365, 95.0, 81.15, 0.664; GCA_019636095.1, s__Vitreimonas sp019636095, 95.0, 80.8, 0.672; GCA_902826145.1, s__Vitreimonas sp902826145, 95.0, 80.61, 0.596; GCA_002083515.1, s__Vitreimonas sp002083515, 95.0, 80.07, 0.493; GCF_001679665.1, s__Vitreimonas manganicus, 95.0, 79.96, 0.652; GCA_023384105.1, s__Vitreimonas sp900696695, 95.0, 79.59, 0.555; GCA_001464425.1, s__Vitreimonas sp001464425, 95.0, 79.21, 0.503; GCF_009792355.1, s__Vitreimonas silvestris, 95.0, 79.21, 0.518; GCA_022841905.1, s__Vitreimonas sp022841905, 95.0, 79.2, 0.503; GCA_017303355.1, s__Vitreimonas sp017303355, 95.0, 78.99, 0.526; GCA_019753105.1, s__Vitreimonas sp019753105, 95.0, 78.94, 0.513; GCA_003242075.1, s__Vitreimonas sp003242075, 95.0, 78.92, 0.512; GCA_014378995.1, s__Vitreimonas sp014378995, 95.0, 78.78, 0.465; GCA_016791385.1, s__Vitreimonas sp016791385, 95.0, 78.75, 0.421; GCA_023410295.1, s__Vitreimonas sp023410295, 95.0, 78.71, 0.439; GCF_004634425.1, s__Vitreimonas flagellata, 95.0, 78.64, 0.48; GCA_023242925.1, s__Vitreimonas sp023242925, 95.0, 78.52, 0.5; GCA_023461135.1, s__Vitreimonas sp023461135, 95.0, 78.03, 0.285; GCA_022843225.1, s__Vitreimonas sp022843225, 95.0, 77.86, 0.323; GCA_000974665.1, s__Vitreimonas sp000974665, 95.0, 77.85, 0.387; GCA_016195245.1, s__Vitreimonas sp016195245, 95.0, 77.74, 0.311; GCA_024707365.1, s__Vitreimonas sp024707365, 95.0, 77.72, 0.384; GCA_019753175.1, s__Vitreimonas sp019753175, 95.0, 77.67, 0.371; GCA_002343395.1, s__Vitreimonas sp002343395, 95.0, 77.67, 0.291; GCA_016791325.1, s__Vitreimonas sp016791325, 95.0, 77.67, 0.298; GCA_003526465.1, s__Vitreimonas sp003526465, 95.0, 77.67, 0.234; GCA_018241475.1, s__Vitreimonas sp018241475, 95.0, 77.48, 0.288; GCA_021731005.1, s__Vitreimonas sp021731005, 95.0, 77.2, 0.31; GCA_902826245.1, s__Vitreimonas sp902826245, 95.0, 77.13, 0.303; GCA_902826035.1, s__Vitreimonas sp902826035, 95.0, 76.96, 0.31	62.84	11	0.98215	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CG11_bin.12.orig	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ramlibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ramlibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_013087525.1, s__Ramlibacter sp013087525, 95.0, 83.36, 0.65; GCA_022844525.1, s__Ramlibacter sp022844525, 95.0, 83.13, 0.523; GCA_023436025.1, s__Ramlibacter sp023436025, 95.0, 82.93, 0.522; GCA_004144865.1, s__Ramlibacter sp004144865, 95.0, 82.89, 0.575; GCA_023438115.1, s__Ramlibacter sp023438115, 95.0, 82.89, 0.524; GCF_001424545.1, s__Ramlibacter sp001424545, 95.0, 82.88, 0.609; GCF_000215705.1, s__Ramlibacter tataouinensis, 95.0, 82.87, 0.584; GCA_023387335.1, s__Ramlibacter sp023387335, 95.0, 82.65, 0.596; GCF_015070875.1, s__Ramlibacter sp015070875, 95.0, 82.58, 0.602; GCA_021323335.1, s__Ramlibacter sp021323335, 95.0, 82.55, 0.57; GCA_013697775.1, s__Ramlibacter sp013697775, 95.0, 82.48, 0.532; GCF_004681975.1, s__Ramlibacter humi, 95.0, 82.47, 0.603; GCA_013127575.1, s__Ramlibacter sp013127575, 95.0, 82.43, 0.648; GCF_014297465.1, s__Ramlibacter sp014297465, 95.0, 82.38, 0.636; GCF_016722785.1, s__Ramlibacter monticola, 95.0, 82.38, 0.612; GCF_015159745.1, s__Ramlibacter aquaticus, 95.0, 82.33, 0.537; GCF_007833165.1, s__Ramlibacter sp007833165, 95.0, 82.25, 0.665; GCA_016213325.1, s__Ramlibacter sp016213325, 95.0, 82.25, 0.619; GCF_016722765.1, s__Ramlibacter alkalitolerans, 95.0, 82.23, 0.6; GCF_012927085.1, s__Ramlibacter agri, 95.0, 82.18, 0.655; GCA_023390985.1, s__Ramlibacter sp023390985, 95.0, 82.17, 0.498; GCF_014297445.1, s__Ramlibacter sp014297445, 95.0, 82.14, 0.614; GCF_016654015.1, s__Ramlibacter ginsenosidimutans, 95.0, 82.09, 0.571; GCF_009758015.1, s__Ramlibacter pinisoli, 95.0, 82.06, 0.609; GCF_004682015.1, s__Ramlibacter henchirensis, 95.0, 81.98, 0.561; GCA_016191525.1, s__Ramlibacter sp016191525, 95.0, 81.9, 0.601; GCF_016641735.1, s__Ramlibacter algicola, 95.0, 81.87, 0.554; GCF_001580455.1, s__Ramlibacter tataouinensis_B, 95.0, 81.73, 0.585; GCF_004681965.1, s__Ramlibacter rhizophilus, 95.0, 81.6, 0.548; GCA_021156245.1, s__Ramlibacter sp021156245, 95.0, 81.23, 0.493; GCF_013155545.1, s__Ramlibacter soli, 95.0, 81.15, 0.539; GCF_015831345.1, s__Ramlibacter sp015831345, 95.0, 81.02, 0.529; GCF_012184415.1, s__Ramlibacter lithotrophicus, 95.0, 80.9, 0.55; GCF_003797765.1, s__Ramlibacter sp003797765, 95.0, 80.7, 0.574; GCA_014376915.1, s__Ramlibacter sp014376915, 95.0, 80.48, 0.449; GCA_023701085.1, s__Ramlibacter sp023701085, 95.0, 80.45, 0.45; GCF_016722895.1, s__Ramlibacter sp016722895, 95.0, 80.36, 0.469; GCA_002427815.1, s__Ramlibacter tataouinensis_A, 95.0, 80.23, 0.475; GCA_013815685.1, s__Ramlibacter sp013815685, 95.0, 80.22, 0.416; GCA_019449555.1, s__Ramlibacter sp019449555, 95.0, 80.1, 0.445; GCA_012274225.1, s__Ramlibacter sp012274225, 95.0, 80.02, 0.391; GCF_001044395.1, s__Ramlibacter sp001044395, 95.0, 79.63, 0.466; GCF_009646335.1, s__Ramlibacter koreensis, 95.0, 79.44, 0.458	67.47	11	0.9781	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CG11_bin.13.orig	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__J057;f__J057;g__JAAFHL01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013298365.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__J057;f__J057;g__JAAFHL01;s__JAAFHL01 sp013298365	76.01	0.06	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__J057;f__J057;g__JAAFHL01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_019695295.1, s__JAAFHL01 sp019695295, 95.0, 75.96, 0.042	95.41	11	0.86273	N/A
CG11_bin.14.permissive	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__JAIBCC01;s__	N/A	N/A	N/A	N/A	N/A	GCA_019694395.1	95.0	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__JAIBCC01;s__JAIBCC01 sp019694395	78.65	0.467	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__JAIBCC01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	44.11	11	0.94282	N/A
CG11_bin.15.orig	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_K;s__Pseudomonas_K sp004801855	GCF_004801855.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_K;s__Pseudomonas_K sp004801855	98.68	0.877	GCF_004801855.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_K;s__Pseudomonas_K sp004801855	98.68	0.877	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_K;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_024451105.1, s__Pseudomonas_K stutzeri_A, 95.0, 92.01, 0.855; GCF_900104805.1, s__Pseudomonas_K oryzae, 95.0, 91.39, 0.803; GCF_900115715.1, s__Pseudomonas_K sagittaria, 95.0, 90.43, 0.799; GCF_020831405.1, s__Pseudomonas_K sp020831405, 95.0, 89.98, 0.763; GCF_900109175.1, s__Pseudomonas_K linyingensis, 95.0, 89.91, 0.806; GCF_900105885.1, s__Pseudomonas_K guangdongensis, 95.0, 89.55, 0.78; GCF_019097855.1, s__Pseudomonas_K sp019097855, 95.0, 89.37, 0.738; GCF_023544715.1, s__Pseudomonas_K sp023544715, 95.0, 84.88, 0.733	91.22	11	N/A	N/A
CG11_bin.16.strict	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter junii	GCF_000368765.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter junii	97.22	0.863	GCF_000368765.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter junii	97.22	0.863	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000369005.1, s__Acinetobacter beijerinckii, 95.0, 85.24, 0.754; GCF_002165255.2, s__Acinetobacter sp002165255, 95.0, 85.1, 0.652; GCF_000369065.1, s__Acinetobacter haemolyticus, 95.0, 83.97, 0.651; GCF_014636095.1, s__Acinetobacter modestus, 95.0, 83.74, 0.668; GCF_008630915.1, s__Acinetobacter sp008630915, 95.0, 83.68, 0.667; GCF_900406815.1, s__Acinetobacter haemolyticus_A, 95.0, 83.6, 0.668; GCF_000368585.1, s__Acinetobacter venetianus, 95.0, 83.56, 0.734; GCF_000368025.1, s__Acinetobacter parvus, 95.0, 83.56, 0.611; GCF_022549495.1, s__Acinetobacter sp003987695, 95.0, 83.24, 0.651; GCF_000374425.1, s__Acinetobacter tjernbergiae, 95.0, 83.17, 0.67; GCF_023702675.1, s__Acinetobacter sp011753255, 95.0, 82.77, 0.673; GCF_000400715.1, s__Acinetobacter sp000400715, 95.0, 82.76, 0.676; GCA_913777945.1, s__Acinetobacter sp913777945, 95.0, 82.76, 0.417; GCF_000369525.1, s__Acinetobacter sp000369525, 95.0, 82.75, 0.685; GCF_023702715.1, s__Acinetobacter sp023702715, 95.0, 82.65, 0.69; GCF_000369805.1, s__Acinetobacter sp000369805, 95.0, 82.62, 0.674; GCF_000413935.1, s__Acinetobacter colistiniresistens, 95.0, 82.61, 0.643; GCF_000367945.1, s__Acinetobacter proteolyticus, 95.0, 82.58, 0.675; GCF_009884975.1, s__Acinetobacter dispersus, 95.0, 82.54, 0.686; GCF_000369405.1, s__Acinetobacter sp000369405, 95.0, 82.53, 0.679; GCF_013072695.1, s__Acinetobacter sp013072695, 95.0, 82.49, 0.681; GCF_014635885.1, s__Acinetobacter vivianii, 95.0, 82.47, 0.638; GCF_000413855.1, s__Acinetobacter gyllenbergii, 95.0, 82.37, 0.678; GCF_024582815.1, s__Acinetobacter sp000369645, 95.0, 82.31, 0.647; GCF_000369505.1, s__Acinetobacter sp000369505, 95.0, 82.29, 0.635; GCF_014635545.1, s__Acinetobacter courvalinii, 95.0, 82.21, 0.607; GCF_004208515.1, s__Acinetobacter halotolerans, 95.0, 82.19, 0.661; GCF_022549355.1, s__Acinetobacter sp022549355, 95.0, 82.02, 0.642; GCF_000805455.1, s__Acinetobacter sp000805455, 95.0, 81.73, 0.55; GCA_008017255.1, s__Acinetobacter sp008017255, 95.0, 80.37, 0.594; GCF_016508255.1, s__Acinetobacter calcoaceticus_E, 95.0, 80.27, 0.434; GCF_000196795.1, s__Acinetobacter oleivorans, 95.0, 80.18, 0.447; GCF_013009345.1, s__Acinetobacter geminorum, 95.0, 80.17, 0.445; GCF_000399685.1, s__Acinetobacter pittii_E, 95.0, 80.16, 0.441; GCF_000313935.1, s__Acinetobacter sp000313935, 95.0, 80.16, 0.433; GCF_000368065.1, s__Acinetobacter seifertii, 95.0, 80.13, 0.467; GCF_013344765.1, s__Acinetobacter lactucae_A, 95.0, 80.13, 0.439; GCF_002928115.1, s__Acinetobacter pittii_H, 95.0, 80.13, 0.45; GCF_023920705.1, s__Acinetobacter sp023920705, 95.0, 80.12, 0.451; GCF_900520355.1, s__Acinetobacter calcoaceticus_C, 95.0, 80.12, 0.445; GCF_009759685.1, s__Acinetobacter baumannii, 95.0, 80.09, 0.429; GCF_000368085.1, s__Acinetobacter nosocomialis, 95.0, 80.07, 0.432; GCF_000399665.1, s__Acinetobacter calcoaceticus_B, 95.0, 80.06, 0.442; GCF_000368965.1, s__Acinetobacter calcoaceticus, 95.0, 80.04, 0.453; GCF_000369045.1, s__Acinetobacter pittii, 95.0, 80.03, 0.447; GCF_001605885.1, s__Acinetobacter lactucae, 95.0, 80.0, 0.451; GCF_016599715.1, s__Acinetobacter sp002135245, 95.0, 79.59, 0.262; GCF_000632455.1, s__Acinetobacter sp000632455, 95.0, 79.49, 0.297; GCF_001696605.3, s__Acinetobacter wuhouensis, 95.0, 79.49, 0.359; GCF_009372255.1, s__Acinetobacter guerrae, 95.0, 79.49, 0.337; GCF_009939195.1, s__Acinetobacter kanungonis, 95.0, 79.45, 0.335; GCF_003024515.2, s__Acinetobacter sichuanensis, 95.0, 79.43, 0.348; GCF_000368145.1, s__Acinetobacter guillouiae, 95.0, 79.39, 0.358; GCF_000214135.1, s__Acinetobacter sp000214135, 95.0, 79.38, 0.369; GCF_000368565.1, s__Acinetobacter gerneri, 95.0, 79.36, 0.338; GCF_000368825.1, s__Acinetobacter ursingii, 95.0, 79.34, 0.321; GCF_902753875.1, s__Acinetobacter bouvetii_A, 95.0, 79.33, 0.286; GCF_008993995.1, s__Acinetobacter brisouii_A, 95.0, 79.33, 0.288; GCF_000488275.1, s__Acinetobacter brisouii, 95.0, 79.28, 0.266; GCF_900096895.1, s__Acinetobacter kookii, 95.0, 79.28, 0.287; GCF_002233755.1, s__Acinetobacter piscicola, 95.0, 79.27, 0.352; GCF_001704615.3, s__Acinetobacter defluvii, 95.0, 79.27, 0.324; GCF_000760595.1, s__Acinetobacter soli, 95.0, 79.26, 0.275; GCF_000368045.1, s__Acinetobacter johnsonii, 95.0, 79.24, 0.332; GCF_004336635.1, s__Acinetobacter sp004336635, 95.0, 79.23, 0.318; GCF_002135205.1, s__Acinetobacter sp002135205, 95.0, 79.22, 0.32; GCF_003268395.1, s__Acinetobacter sp003268395, 95.0, 79.22, 0.337; GCF_016624945.1, s__Acinetobacter sp016624945, 95.0, 79.22, 0.345; GCF_002165375.2, s__Acinetobacter chinensis, 95.0, 79.2, 0.266; GCF_902809855.1, s__Acinetobacter sp902809855, 95.0, 79.19, 0.332; GCF_002135315.1, s__Acinetobacter sp002135315, 95.0, 79.19, 0.274; GCF_002165305.2, s__Acinetobacter sp002165305, 95.0, 79.18, 0.331; GCF_002135355.1, s__Acinetobacter sp002135355, 95.0, 79.17, 0.29; GCA_002365595.1, s__Acinetobacter sp002365595, 95.0, 79.16, 0.31; GCF_002135235.1, s__Acinetobacter silvestris, 95.0, 79.16, 0.338; GCF_000368925.1, s__Acinetobacter bereziniae, 95.0, 79.15, 0.384; GCF_003611475.1, s__Acinetobacter rongchengensis, 95.0, 79.1, 0.366; GCF_004331155.1, s__Acinetobacter terrestris, 95.0, 79.09, 0.302; GCF_000368265.1, s__Acinetobacter sp000368265, 95.0, 79.09, 0.263; GCF_000368685.1, s__Acinetobacter baylyi, 95.0, 79.07, 0.322; GCF_013004375.1, s__Acinetobacter terrae, 95.0, 79.07, 0.315; GCA_009912575.1, s__Acinetobacter bereziniae_A, 95.0, 79.06, 0.35; GCF_900625095.1, s__Acinetobacter ihumii, 95.0, 79.06, 0.341; GCF_003261585.1, s__Acinetobacter sp003261585, 95.0, 79.04, 0.269; GCF_900323515.1, s__Acinetobacter stercoris, 95.0, 79.04, 0.273; GCA_943914805.1, s__Acinetobacter sp943914805, 95.0, 79.03, 0.358; GCF_011578045.1, s__Acinetobacter shaoyimingii, 95.0, 79.0, 0.328; GCF_004331075.1, s__Acinetobacter sp004331075, 95.0, 78.96, 0.304; GCF_015218165.1, s__Acinetobacter piscicola_A, 95.0, 78.94, 0.352; GCA_002455755.1, s__Acinetobacter sp002455755, 95.0, 78.89, 0.265; GCF_004331285.1, s__Acinetobacter sp004331285, 95.0, 78.87, 0.303; GCF_002135415.1, s__Acinetobacter sp002135415, 95.0, 78.85, 0.363; GCF_016508585.1, s__Acinetobacter baumannii_B, 95.0, 78.8, 0.334; GCF_000829675.1, s__Acinetobacter rudis, 95.0, 78.77, 0.218; GCF_006757745.1, s__Acinetobacter radioresistens, 95.0, 78.76, 0.224; GCF_002135345.1, s__Acinetobacter sp002135345, 95.0, 78.74, 0.33; GCF_004345325.1, s__Acinetobacter calcoaceticus_D, 95.0, 78.47, 0.221; GCF_001704115.1, s__Acinetobacter larvae, 95.0, 78.38, 0.189; GCF_015627175.1, s__Acinetobacter pollinis, 95.0, 78.27, 0.223	98.85	11	N/A	N/A
CG11_bin.2.orig	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__CV81;s__	N/A	N/A	N/A	N/A	N/A	GCA_001767925.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__CV81;s__CV81 sp001767925	83.46	0.793	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__CV81;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_902826095.1, s__CV81 sp902826095, 95.0, 79.95, 0.693; GCA_020446725.1, s__CV81 sp020446725, 95.0, 79.12, 0.567; GCA_003506635.1, s__CV81 sp003506635, 95.0, 78.63, 0.5; GCA_013389125.1, s__CV81 sp013389125, 95.0, 78.45, 0.467; GCA_020446945.1, s__CV81 sp020446945, 95.0, 78.13, 0.46	52.04	11	0.97126	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CG11_bin.21.orig	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002396885.1, s__Arctic95D-9 sp002396885, 95.0, 86.85, 0.76; GCA_016795385.1, s__Arctic95D-9 sp016795385, 95.0, 84.77, 0.714; GCA_023253615.1, s__Arctic95D-9 sp023253615, 95.0, 84.58, 0.767; GCA_002288445.1, s__Arctic95D-9 sp002288445, 95.0, 84.51, 0.866; GCA_002344525.1, s__Arctic95D-9 sp002344525, 95.0, 80.14, 0.553; GCA_020439925.1, s__Arctic95D-9 sp020439925, 95.0, 79.54, 0.476; GCA_002344215.1, s__Arctic95D-9 sp002344215, 95.0, 79.36, 0.336; GCA_007123695.1, s__Arctic95D-9 sp007123695, 95.0, 78.93, 0.444; GCA_002422425.1, s__Arctic95D-9 sp002422425, 95.0, 78.67, 0.434; GCA_012719225.1, s__Arctic95D-9 sp012719225, 95.0, 78.46, 0.494; GCA_017991025.1, s__Arctic95D-9 sp017991025, 95.0, 77.6, 0.251; GCA_018058245.1, s__Arctic95D-9 sp018058245, 95.0, 77.06, 0.164; GCA_002726915.1, s__Arctic95D-9 sp002726915, 95.0, 76.67, 0.044; GCA_013213905.1, s__Arctic95D-9 sp013213905, 95.0, 76.6, 0.105; GCA_002698785.1, s__Arctic95D-9 sp002698785, 95.0, 76.34, 0.064; GCA_022424805.1, s__Arctic95D-9 sp022424805, 95.0, 76.29, 0.102; GCA_913058215.1, s__Arctic95D-9 sp913058215, 95.0, 76.22, 0.035; GCA_022361255.1, s__Arctic95D-9 sp022361255, 95.0, 76.14, 0.085; GCA_002862135.1, s__Arctic95D-9 sp002862135, 95.0, 76.06, 0.104; GCA_020630975.1, s__Arctic95D-9 sp020630975, 95.0, 75.94, 0.036; GCA_002323995.1, s__Arctic95D-9 sp002323995, 95.0, 75.93, 0.058; GCA_020627905.1, s__Arctic95D-9 sp020627905, 95.0, 75.68, 0.051; GCA_020629815.1, s__Arctic95D-9 sp020629815, 95.0, 75.45, 0.035; GCA_020630835.1, s__Arctic95D-9 sp020630835, 95.0, 74.98, 0.035	92.99	11	0.98766	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CG11_bin.26.strict	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SPDF01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SPDF01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	90.43	11	0.92565	N/A
CG11_bin.27.strict	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__	N/A	N/A	N/A	N/A	N/A	GCA_002841115.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__Albidovulum sp002841115	87.46	0.706	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_011620265.1, s__Albidovulum sp011620265, 95.0, 81.58, 0.568; GCA_002280515.1, s__Albidovulum sp002280515, 95.0, 81.19, 0.581; GCA_008933605.1, s__Albidovulum sp008933605, 95.0, 80.23, 0.51; GCA_020637675.1, s__Albidovulum sp020637675, 95.0, 80.12, 0.528; GCA_020637635.1, s__Albidovulum sp020637635, 95.0, 80.09, 0.532; GCF_002973535.1, s__Albidovulum denitrificans, 95.0, 80.0, 0.516; GCA_020161655.1, s__Albidovulum sp020161655, 95.0, 79.99, 0.534; GCA_020446905.1, s__Albidovulum sp020446905, 95.0, 79.65, 0.541; GCA_024236495.1, s__Albidovulum sp024236495, 95.0, 79.56, 0.493; GCA_002440625.1, s__Albidovulum sp002440625, 95.0, 79.42, 0.444; GCF_900302475.1, s__Albidovulum aquaemixtae, 95.0, 78.86, 0.46; GCA_020446815.1, s__Albidovulum sp020446815, 95.0, 78.66, 0.408; GCF_002927635.1, s__Albidovulum inexpectatum, 95.0, 78.49, 0.412; GCA_020447005.1, s__Albidovulum sp020447005, 95.0, 78.47, 0.401	80.87	11	0.97789	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
